OTU.ID	LP_ICE_21_Core1_0.10_cDNA	LP_ICE_21_Core1_0.10_DNA	LP_ICE_21_Core1_10.20_cDNA	LP_ICE_21_Core1_10.20_DNA	LP_ICE_21_Core1_20.30_cDNA	LP_ICE_21_Core1_20.30_DNA	LP_ICE_21_Core1_30.40_cDNA	LP_ICE_21_Core1_30.40_DNA	LP_ICE_21_Core1_40.50_cDNA	LP_ICE_21_Core1_40.50_DNA	LP_ICE_21_Core1_50.60_cDNA	LP_ICE_21_Core1_50.60_DNA	LP_ICE_21_Core1_60.70_cDNA	LP_ICE_21_Core1_60.70_DNA	LP_ICE_21_Core1_70.80_cDNA	LP_ICE_21_Core1_70.80_DNA	LP_ICE_21_Core1_80.90_cDNA	LP_ICE_21_Core1_80.90_DNA	LP_ICE_21_Core1_90.100_cDNA	LP_ICE_21_Core1_90.100_DNA	LP_ICE_21_Core2_0.10_cDNA	LP_ICE_21_Core2_0.10_DNA	LP_ICE_21_Core2_10.20_cDNA	LP_ICE_21_Core2_10.20_DNA	LP_ICE_21_Core2_100.110_cDNA	LP_ICE_21_Core2_100.110_DNA	LP_ICE_21_Core2_20.30_cDNA	LP_ICE_21_Core2_20.30_DNA	LP_ICE_21_Core2_30.40_cDNA	LP_ICE_21_Core2_30.40_DNA	LP_ICE_21_Core2_40.50_cDNA	LP_ICE_21_Core2_40.50_DNA	LP_ICE_21_Core2_50.60_cDNA	LP_ICE_21_Core2_50.60_DNA	LP_ICE_21_Core2_60.70_cDNA	LP_ICE_21_Core2_60.70_DNA	LP_ICE_21_Core2_70.80_cDNA	LP_ICE_21_Core2_70.80_DNA	LP_ICE_21_Core2_80.90_cDNA	LP_ICE_21_Core2_80.90_DNA	LP_ICE_21_Core2_90.100_cDNA	LP_ICE_21_Core2_90.100_DNA	LP_ICE_21_Core3_0.10_cDNA	LP_ICE_21_Core3_0.10_DNA	LP_ICE_21_Core3_10.20_cDNA	LP_ICE_21_Core3_10.20_DNA	LP_ICE_21_Core3_20.30_cDNA	LP_ICE_21_Core3_20.30_DNA	LP_ICE_21_Core3_30.40_cDNA	LP_ICE_21_Core3_30.40_DNA	LP_ICE_21_Core3_40.50_cDNA	LP_ICE_21_Core3_40.50_DNA	LP_ICE_21_Core3_50.60_cDNA	LP_ICE_21_Core3_50.60_DNA	LP_ICE_21_Core3_60.70_cDNA	LP_ICE_21_Core3_60.70_DNA	LP_ICE_21_Core3_70.80_cDNA	LP_ICE_21_Core3_70.80_DNA	LP_ICE_21_Core3_80.90_cDNA	LP_ICE_21_Core3_80.90_DNA	LP_ICE_21_Core3_90.100_cDNA	LP_ICE_21_Core3_90.100_DNA	LP_ICE_21_MoComE_cDNA	LP_ICE_21_MoComE_DNA	LP_ICE_21_NTC.Index_cDNA	LP_ICE_21_NTC.Index_DNA	LP_ICE_21_NTC.TS_cDNA	LP_ICE_21_NTC.TS_DNA	LP_ICE_21_Snow1_cDNA	LP_ICE_21_Snow1_DNA	LP_ICE_21_Snow2_cDNA	LP_ICE_21_Snow2_DNA	LP_ICE_21_Snow3_cDNA	LP_ICE_21_Snow3_DNA	LP_ICE_21_Snow4_cDNA	LP_ICE_21_Snow4_DNA	LP_ICE_21_Snow5_cDNA	LP_ICE_21_Snow5_DNA	LP_ICE_21_Snow6_cDNA	LP_ICE_21_Snow6_DNA	LP_ICE_21_Snow7_cDNA	LP_ICE_21_Snow7_DNA	LP_ICE_21_Water1_cDNA	LP_ICE_21_Water1_DNA	LP_ICE_21_Water2_cDNA	LP_ICE_21_Water2_DNA	LP_ICE_21_Water3_cDNA	LP_ICE_21_Water3_DNA	taxonomy
457	b169f3d08c1ec1e23f3b41b99afb60a1	0	320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	522	38	1572	0	0	0	132	43	132	117	496	0	57	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
562	6301aace515f036dd0acd353de4edc42	0	0	0	0	3	0	0	0	0	0	2386	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
595	75a4de182cfefe0965ef438524c7fdf9	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	343	0	621	0	0	0	57	185	469	49	380	0	122	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
675	855644281508253ee3d3c9a59136154b	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	63	20	84	24	108	741	469	0	52	0	53	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
863	5d8cec5ab56857b6e450c738fa1c890e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	1262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
920	fe15f65b9df14fe9a9e3821bd3c734bb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	229	33	101	0	136	155	58	49	97	0	47	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
975	09c02436d763a7981e17df27d8983789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	117	16	184	49	160	18	44	156	157	183	44	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
995	0d0ef736fa7217e695dfc90642446d10	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(97); Chloroplast_fa(97); Chloroplast_ge(97)
1049	8fb02e3046d0620a87484ceed9c5c1fe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	99	300	25	130	0	238	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1157	47ef8555fcb20b7d8008e164b791f380	0	0	0	0	0	0	0	0	903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1227	85e2062cf7288d0772d163a99cd92d76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	24	172	0	30	0	29	151	418	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1278	1449e9af98f6016cf8b08f02384a5bea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	258	6	29	9	124	0	173	0	0	0	177	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1317	f62c5135ffddcfb105fb1d8ca5a3fd88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	658	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(94); Chloroplast_fa(94); Chloroplast_ge(94)
1368	2a29e2d04535d61bac7e6fa80892cbf9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	54	0	29	16	58	44	369	0	38	33	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1490	fe2097d8470b68367559ed7e660adf29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1505	83332a142bed1cab33b290de48549215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	72	0	84	0	77	49	143	0	153	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1564	f39790ad4b1a813000323022eb1e9567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1576	e03c2f96b7061d2dac463943dc0117f6	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1674	c98d4a7c5b0f05022bba72cf83abb371	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13	5	17	0	2	0	0	2	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1698	7a3b0cad5ab01ca13c3c64a72d8d2bd2	0	0	0	0	0	0	0	0	0	0	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1699	c8cd87ed9b3ff459035cb412afe61b91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	24	75	0	0	0	46	0	70	35	0	0	123	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1715	8b4a322e33ae342b765485e97af69fb8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	58	15	137	18	0	0	115	0	93	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1867	05e944618175539ba90064595daa350f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1885	369c238386da3adefc73f3d07b1e6b8f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	74	0	0	0	0	111	145	0	0	0	44	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
1966	ac7b495a2073d6def6fce09b080678e4	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	28	0	0	14	0	0	0	90	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
2160	fe8456c34ec9fbe3eb330914af9687c8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
2271	120e87fc72ae5968e1e419043c3fb849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(99); Chloroplast_fa(99); Chloroplast_ge(99)
2280	7f15174bac734b61a875aa07f534084b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	39	0	0	218	0	0	0	0	0	0	0	0	0	0	0	Bacteria(100); Cyanobacteria(100); Cyanobacteriia(100); Chloroplast(100); Chloroplast_fa(100); Chloroplast_ge(100)
